area_code,order,area,lon,lat
1,1,vehicles,-15.416,28.1365
1,2,vehicles,-15.412,28.1395
1,3,vehicles,-15.416,28.1395
1,4,vehicles,-15.412,28.1365
2,1,vehicles,-15.416,28.13951
2,2,vehicles,-15.41474,28.1429
2,3,vehicles,-15.416,28.1429
2,4,vehicles,-15.41474,28.13951
3,1,containers,-15.4184,28.129
3,2,containers,-15.41109,28.139
3,3,containers,-15.4184,28.139
3,4,containers,-15.41109,28.129
4,1,containers,-15.416,28.14397
4,2,containers,-15.4125,28.151
4,3,containers,-15.416,28.151
4,4,containers,-15.4125,28.14397
5,1,ship repairs,-15.4118,28.151
5,2,ship repairs,-15.4065,28.1568
5,3,ship repairs,-15.4118,28.1568
5,4,ship repairs,-15.4065,28.151
6,1,bulk ,-15.40865,28.13648
6,2,bulk ,-15.407,28.1429
6,3,bulk ,-15.40865,28.1429
6,4,bulk ,-15.407,28.13648
7,1,general use,-15.4197,28.14611
7,2,general use,-15.4177,28.1472
7,3,general use,-15.4197,28.1472
7,4,general use,-15.4177,28.14611
8,3,vehicles,-15.4171,28.1431
8,4,vehicles,-15.4176,28.1472
8,2,vehicles,-15.4171,28.1472
8,1,vehicles,-15.4176,28.1431
9,1,vegetables,-15.41765,28.14183
9,2,vegetables,-15.4171,28.1429
9,3,vegetables,-15.41765,28.1429
9,4,vegetables,-15.4171,28.14183
10,1,refrigerated goods,-15.4215,28.141
10,2,refrigerated goods,-15.42,28.145
10,3,refrigerated goods,-15.4215,28.145
10,4,refrigerated goods,-15.42,28.141
11,1,various use,-15.41765,28.1391
11,2,various use,-15.4172,28.1417
11,3,various use,-15.41765,28.1417
11,4,various use,-15.4172,28.1391
12,1,fishing vessels,-15.42327,28.1434
12,2,fishing vessels,-15.42205,28.1472
12,3,fishing vessels,-15.42327,28.1472
12,4,fishing vessels,-15.42205,28.1434
13,1,sailing vessels,-15.43,28.1234
13,2,sailing vessels,-15.423,28.13007
13,3,sailing vessels,-15.43,28.13007
13,4,sailing vessels,-15.423,28.1234
14,1,sailing vessels,-15.43,28.13265
14,2,sailing vessels,-15.42449,28.1346
14,3,sailing vessels,-15.43,28.1346
14,4,sailing vessels,-15.42449,28.13265
15,1,port area,-15.4305,28.11
15,2,port area,-15.39845467,28.16214
15,3,port area,-15.4305,28.16214
15,4,port area,-15.39845467,28.11
